id,powiat,populacja_ogolem,populacja_produkcyjna,stadiony,hale_sportowe,sale_gimnastyczne,korty_tenisowe,plywalnie,wodociagi,drogi_utwardzone,drogi_gruntowe,gaz,technika_zawodowki,sciezki_rowerowe_na_obszar,sciezki_rowerowe_na_ludnosc,przystanki_zbiorkom,licea,kanalizacja,wynagrodzenia,odbior_odpadow,koszty_odpadow,szkoly_podstawowe
130,"Powiat suski",83761,51179,8,1,2,2,2,33738,118.1,96.7,151.7,124.2,11302,25,70.0,0.57,392,2,33862,4482.76,0.0,0.00,43,
131,"Powiat tarnowski",201230,125613,26,4,6,6,1,148312,150.8,105.8,31.7,22.2,142906,25,308.9,2.17,1060,5,107169,4149.11,0.0,0.00,126,
132,"Powiat tatrzański",68049,40759,3,3,1,3,2,50208,114.1,79.1,19.8,13.7,5291,25,173.9,1.21,421,4,44254,4655.05,0.0,0.00,37,
133,"Powiat wadowicki",159662,96821,14,3,15,6,4,137784,185.5,75.0,33.1,13.4,105740,24,122.3,0.49,704,6,84414,4457.27,0.0,0.00,73,
134,"Powiat wielicki",130651,79357,18,2,0,3,2,118575,196.4,61.7,26.0,8.2,115535,30,289.7,0.91,599,5,65428,5047.98,0.0,0.00,60,
135,"Powiat m.Kraków",779966,457125,18,26,37,75,16,777973,300.7,12.6,19.8,0.8,545237,25,7734.4,3.24,1843,65,719512,6482.24,95.3,637.09,202,
136,"Powiat m.Nowy Sącz",83558,49324,6,5,4,14,2,72229,381.7,26.3,47.9,3.3,75897,26,2935.0,2.02,713,12,72231,4468.93,75.2,460.98,22,
137,"Powiat m.Tarnów",107498,62492,4,4,1,7,2,107455,377.6,25.4,61.9,4.2,103315,26,10458.7,7.04,372,13,94551,5629.79,70.0,685.03,31,
138,"Powiat białobrzeski",33329,20077,2,1,0,0,0,25123,86.4,165.6,24.3,46.6,8755,28,165.9,3.18,143,2,10010,4410.45,0.0,0.00,20,
139,"Powiat ciechanowski",88891,53205,5,2,12,5,1,83238,100.8,120.2,36.2,43.2,36667,23,536.9,6.40,562,6,51829,4967.97,0.0,0.00,36,
140,"Powiat garwoliński",108634,64770,7,5,0,3,1,95862,90.3,106.8,41.9,49.6,43720,24,63.0,0.75,642,6,51766,4708.21,0.0,0.00,63,
141,"Powiat gostyniński",44581,26850,4,1,0,2,1,38323,91.4,126.0,25.6,35.4,2764,24,273.3,3.77,240,2,19647,4637.28,0.0,0.00,17,
142,"Powiat grodziski",97462,56625,3,1,1,7,1,89254,141.5,53.3,45.3,17.1,72526,24,991.7,3.73,615,7,61066,5761.51,0.0,0.00,34,
143,"Powiat grójecki",97979,57570,6,4,0,4,3,74353,97.6,126.3,31.1,40.2,52033,23,178.3,2.31,530,5,42493,5088.28,0.0,0.00,51,
144,"Powiat kozienicki",59592,35259,3,1,0,4,1,50517,69.9,107.5,45.3,69.6,20819,21,281.6,4.33,194,2,37096,5467.11,0.0,0.00,31,
145,"Powiat legionowski",119882,70239,2,2,7,2,5,87641,108.1,35.2,29.1,9.5,94345,26,2444.0,7.97,528,7,85854,5059.53,0.0,0.00,33,
146,"Powiat lipski",33598,19714,2,0,0,1,0,25781,94.2,207.6,45.1,99.4,5,25,39.2,0.86,469,3,8341,4564.75,0.0,0.00,18,
147,"Powiat łosicki",30556,17924,1,0,0,0,0,26467,70.0,176.9,51.0,128.9,4622,23,58.3,1.47,277,1,13052,4486.10,0.0,0.00,20,
148,"Powiat makowski",44438,26505,8,2,5,0,0,38567,84.9,203.5,35.5,85.1,126,20,22.5,0.54,303,3,12493,4461.25,0.0,0.00,22,
149,"Powiat miński",154951,91927,5,4,5,7,0,140127,109.9,82.5,54.2,40.7,54434,25,342.9,2.58,998,12,87293,4717.21,0.0,0.00,64,
150,"Powiat mławski",72269,44096,2,5,2,4,1,66566,80.4,131.4,22.4,36.6,30726,23,198.8,3.25,490,7,34713,4636.34,0.0,0.00,35,
151,"Powiat nowodworski",79265,47524,3,5,2,1,1,69109,103.2,90.5,26.2,22.9,25708,21,1062.2,9.31,378,4,44754,6096.33,0.0,0.00,30,
152,"Powiat ostrołęcki",88497,55511,2,0,15,6,0,65580,76.5,181.0,29.9,70.7,12360,17,1165.0,27.56,722,2,26022,4564.72,0.0,0.00,65,
153,"Powiat ostrowski",71790,43049,4,4,4,3,1,64512,78.1,132.4,74.3,126.1,8011,22,196.3,3.33,426,3,30274,4650.41,0.0,0.00,41,
154,"Powiat otwocki",124283,71964,3,4,2,1,1,97661,104.3,51.7,93.2,46.2,88393,25,1284.3,6.36,398,6,74879,5281.35,0.0,0.00,51,
155,"Powiat piaseczyński",190606,112254,6,4,7,1,3,181534,149.0,48.6,79.9,26.0,141129,26,1000.0,3.26,705,13,141285,5164.71,0.0,0.00,63,
156,"Powiat płocki",110742,68659,8,4,0,0,0,99479,77.5,125.7,47.8,77.5,11259,18,324.5,5.26,774,2,37746,4631.84,0.0,0.00,53,
