"Kod";"Nazwa";"drogi gminne i powiatowe o twardej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o twardej nawierzchni;na 10 tys. ludności;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 100 km2;2020;[km]";"drogi gminne i powiatowe o gruntowej nawierzchni;na 10 tys. ludności;2020;[km]";
2210000;"Powiat nowodworski";68,2;129,7;14,2;26,9;
2211000;"Powiat pucki";90,4;60,0;23,2;15,4;
2212000;"Powiat słupski";51,7;120,6;47,4;110,4;
2213000;"Powiat starogardzki";54,8;57,5;73,6;77,2;
2214000;"Powiat tczewski";74,2;44,9;34,8;21,1;
2215000;"Powiat wejherowski";68,0;39,8;36,4;21,3;
2216000;"Powiat sztumski";59,3;105,3;20,6;36,6;
2261000;"Powiat m.Gdańsk";282,3;15,7;26,9;1,5;
2262000;"Powiat m.Gdynia";246,2;13,6;16,8;0,9;
2263000;"Powiat m.Słupsk";308,2;14,8;18,5;0,9;
2264000;"Powiat m.Sopot";330,4;16,2;11,6;0,6;
2400000;"ŚLĄSKIE";159,2;43,7;24,8;6,8;
2401000;"Powiat będziński";183,9;45,5;18,8;4,7;
2402000;"Powiat bielski";253,5;69,9;39,1;10,8;
2403000;"Powiat cieszyński";214,6;88,3;19,4;8,0;
2404000;"Powiat częstochowski";95,1;107,9;29,6;33,6;
2405000;"Powiat gliwicki";107,2;61,7;15,7;9,0;
2406000;"Powiat kłobucki";103,5;109,1;22,9;24,1;
2407000;"Powiat lubliniecki";110,4;119,3;38,4;41,5;
2408000;"Powiat mikołowski";201,5;47,3;22,2;5,2;
2409000;"Powiat myszkowski";203,0;138,1;43,8;29,8;
2410000;"Powiat pszczyński";131,8;55,5;20,9;8,8;
2411000;"Powiat raciborski";110,0;55,7;9,9;5,0;
2412000;"Powiat rybnicki";191,5;54,8;19,3;5,5;
2413000;"Powiat tarnogórski";104,9;48,0;21,2;9,7;
2414000;"Powiat bieruńsko-lędziński";226,2;59,8;13,2;3,5;
2415000;"Powiat wodzisławski";259,2;47,5;3,7;0,7;
2416000;"Powiat zawierciański";116,7;100,2;33,8;29,1;
2417000;"Powiat żywiecki";110,3;75,4;17,6;12,0;
2461000;"Powiat m.Bielsko-Biała";413,5;30,3;34,9;2,6;
2462000;"Powiat m.Bytom";250,6;10,7;8,4;0,4;
2463000;"Powiat m.Chorzów";395,3;12,3;5,1;0,2;
2464000;"Powiat m.Częstochowa";260,8;19,1;110,4;8,1;
2465000;"Powiat m.Dąbrowa Górnicza";183,3;29,3;10,9;1,7;
2466000;"Powiat m.Gliwice";256,3;19,4;13,7;1,0;
2467000;"Powiat m.Jastrzębie-Zdrój";292,7;28,4;21,9;2,1;
2468000;"Powiat m.Jaworzno";208,5;35,2;5,2;0,9;
2469000;"Powiat m.Katowice";296,1;16,8;17,7;1,0;
2470000;"Powiat m.Mysłowice";271,9;23,9;19,0;1,7;
2471000;"Powiat m.Piekary Śląskie";299,6;21,9;25,0;1,8;
2472000;"Powiat m.Ruda Śląska";295,4;16,8;20,1;1,1;
2473000;"Powiat m.Rybnik";261,3;28,3;14,7;1,6;
2474000;"Powiat m.Siemianowice Śląskie";391,0;15,0;0,0;0,0;
2475000;"Powiat m.Sosnowiec";352,1;16,2;18,4;0,9;
2476000;"Powiat m.Świętochłowice";502,6;13,6;0,0;0,0;
2477000;"Powiat m.Tychy";291,3;18,8;35,1;2,3;
2478000;"Powiat m.Zabrze";341,2;16,0;0,0;0,0;
2479000;"Powiat m.Żory";261,6;26,9;35,1;3,6;
2600000;"ŚWIĘTOKRZYSKIE";110,2;105,4;23,3;22,3;
2601000;"Powiat buski";145,7;198,3;25,5;34,7;
2602000;"Powiat jędrzejowski";90,1;133,4;7,4;10,9;
2603000;"Powiat kazimierski";181,5;229,9;52,3;66,2;
2604000;"Powiat kielecki";88,4;94,1;15,9;16,9;
2605000;"Powiat konecki";74,1;106,8;24,2;34,8;
2606000;"Powiat opatowski";131,0;231,6;30,4;53,8;
2607000;"Powiat ostrowiecki";129,0;73,9;32,1;18,4;
2608000;"Powiat pińczowski";96,1;153,1;10,3;16,4;
2609000;"Powiat sandomierski";150,2;133,0;25,8;22,9;
2610000;"Powiat skarżyski";95,3;51,5;17,3;9,3;
